unit_code,year,unit_period,description,handbook_url,unit_rules,assessments,has_final_exam,unit_name
MEDI8102,2024,['Session 1 - In person-scheduled-weekday'],"<p>This unit will introduce you to the principles underpinning the practice of evidence-based health care, whereby research evidence is integrated with clinical expertise and clients&#39; / patients&#39; values. Specifically, you will learn how to formulate clinical questions about diagnosis, prognosis and treatment, and locate and critically appraise relevant evidence to answer those questions. This unit will provide you with an evidence-based framework for concurrent and future units to enhance communication, reflection and life-long learning skills. Through integration with students from other health professional courses you will undertake an interprofessional community-based clinical component, developing foundational skills in how to implement evidence-based health care in clinical practice.</p>",https://coursehandbook.mq.edu.au/2024/units/MEDI8102/,"{'prerequisite': ['Admission to MD '], 'corequisite': ['((MEDI910 or MEDI8100) and (MEDI911 or MEDI8101)) '], 'NCCW (pre-2020 units)': ['MEDI912, PHTY804'], 'Co-badge': ['PHTY8104']}","{'Clinical Education Simulation and Reflection - Part 1': {'assessment_type': 'Simulation/role play', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<p>This assessment task will involve submitting an audio or video where you will simulate being a future clinician educating your HAWC volunteer about their condition with a focus on their diagnosis and prognosis. In a written reflection, you will evaluate the alignment between the health care journey of the your HAWC volunteer and the best available evidence. Overall performance, capability aspects and Stage 1 EPAs may be assessed and results recorded in your Macquarie Assessment Portfolio.</p>'}, 'Clinical Education Simulation and Reflection - Part 2': {'assessment_type': 'Simulation/role play', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<p>This assessment task will involve submitting an audio or video where you will simulate being a future clinician educating your HAWC volunteer about the treatments available for their main condition according to the best available evidence. In a written reflection, you will evaluate the alignment between the health care journey of the your HAWC volunteer and the best available evidence. Overall performance, capability aspects and Stage 1 EPAs may be assessed and results recorded in your Macquarie Assessment Portfolio.</p>'}, 'Clinical Placement Logbook': {'assessment_type': 'Log book', 'assessment_weight': '0', 'assessment_hurdle': 'Yes', 'assessment_description': '<p>This assessment task requires you to submit a detailed logbook of your clinical placement hours for the unit. This result will be recorded overall and for specific capability aspects in your Macquarie Assessment Portfolio.</p>'}, 'Clinical Reflection Report': {'assessment_type': 'Reflective Writing', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>This Assessment Task is comprised of two brief reports that requires you to reflect on your clinical experiences in this unit: (1) a Formal Feedback Report; (2) Clinical Reflection Report. Overall performance and specific capability aspects will be assessed and results recorded in your Macquarie Assessment Portfolio.</p>'}}",False,Evidence-Based Healthcare
MEDI8310,2024,['Full year 1 - In person-scheduled-infrequent'],"<p>This full year unit is the first of two research units which are integrated with clinical learning in Stage 2 of the Doctor of Medicine (Macquarie MD). It contributes to an 18-month research experience culminating in the completion and presentation of an individual research project in MEDI8400: Research Project and Presentation.  You will build on the research training embedded in Stage 1 of the Macquarie MD. The research projects offered broadly focus on making a scholarly contribution to learning health systems and may include projects related to health systems development and delivery, infrastructure and resource-use in healthcare, patient safety and quality, patient and clinician experience of service delivery, patient- and professional-reported determinants of health and wellbeing and medical education.  You will work with peers involved in similar projects, and your project supervisors, to undertake relevant research training; conduct a literature review, finalise your research questions; develop a comprehensive research plan; collect and analyse data; and draft and refine sections of your manuscript required in MEDI8400: Research Project and Presentation. You will also further develop your skills in communicating research effectively. </p>",https://coursehandbook.mq.edu.au/2024/units/MEDI8310/,"{'prerequisite': ['(MEDI924 or MEDI8204)'], 'Co-badge': ['MEDI8303', 'MEDI8300']}","{'Draft of research manuscript components': {'assessment_type': 'Professional writing', 'assessment_weight': '25', 'assessment_hurdle': 'No', 'assessment_description': '<p>Draft of Introduction and background section of research manuscript in format of the specified journal. Assessment criteria will be mapped to relevant capability aspects. Overall and capability aspect performance\xa0 will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'Research Plan': {'assessment_type': 'Plan', 'assessment_weight': '10', 'assessment_hurdle': 'No', 'assessment_description': '<p>Outline Research plan with timelines including strategies to work collaboratively as a member of the research team. Assessment criteria will be mapped to relevant capability aspects. Overall and capability aspects performance\xa0 will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'Oral presentation': {'assessment_type': 'Presentation', 'assessment_weight': '15', 'assessment_hurdle': 'No', 'assessment_description': '<p>Oral presentation of Research plan including planned methods to supervisors. Assessment criteria will be mapped to relevant capability aspects. Overall and capability aspects performance will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'Draft and refinement of research manuscript components': {'assessment_type': 'Professional writing', 'assessment_weight': '50', 'assessment_hurdle': 'No', 'assessment_description': '<p>Draft analysis, refined Introduction, methods and results in format of the specified journal. Assessment criteria will be mapped to relevant capability aspects. Overall and capability aspect performance\xa0 will be recorded in your Macquarie Assessment Portfolio.</p>'}}",False,Research Project
MEDI8200,2024,['MD2A - In person-scheduled-weekday'],"<p>The unit expands on your clinical knowledge and advances your understanding of the clinical disciplines of Primary Care, Wellbeing, Mental Health, Diagnostics and Cancer.  Over a 10-week period, you will build your understanding of a range of clinical disciplines integrated with applied medical sciences and the social sciences relevant to health and disease.  The unit uses a weekly thematic structure, common across all units in the session to provide a central focus for your learning. These themes represent conceptual understanding of the complexity of health; major mechanisms of diseases and important challenges of modern health care delivery.  The unit incorporates an experiential learning component contextually focused on patient-centred  health care  delivered in the clinical disciplines of  Primary Care, Wellbeing, Mental Health, Diagnostics and Cancer.  The unit includes weekly lectures/seminars, case based learning sessions, clinical bedside tutorials, procedural skills sessions, as well as clinical placements. You are expected to use these learning opportunities to demonstrate significant progress toward the development of the 4 Macquarie MD Graduate Capabilities: Scientist and Scholar, Clinical Practitioner, Engaged Global Citizen and Professional, and the Entrustable Professional Activities, at a standard appropriate to  end of Stage 1 of the Macquarie MD.</p>",https://coursehandbook.mq.edu.au/2024/units/MEDI8200/,"{'prerequisite': ['(MEDI8100 or MEDI910) and (MEDI8101 or MEDI911) and (MEDI8102 or MEDI912) and (MEDI8103 or MEDI913) and (MEDI8104 or MEDI914) and (MEDI8105 or MEDI915)'], 'NCCW (pre-2020 units)': ['MEDI920']}","{'Case report': {'assessment_type': 'Report', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>The case report is a written assignment about a patient you have taken a comprehensive history and performed a physical examination. Overall performance, capability aspects and Stage 1 Entrustable Professional Activities will be assessed and recorded in your Macquarie Assessment Portfolio.</p>'}, 'Reflection and Learning Plan': {'assessment_type': 'Learning plan', 'assessment_weight': '0', 'assessment_hurdle': 'No', 'assessment_description': '<p>You must keep a logbook documenting your attendance at your clinical placements and recording your interactions with patients, key learnings and reflections. You will be required to reflect on your experiences over the entire unit, identify your ongoing learning needs and generate a learning plan.\xa0</p>'}, 'Clinical Viva': {'assessment_type': 'Viva/oral examination', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<p>The viva will involve an oral presentation of the case presented in your Case Report and will involve answering questions relevant to the case. Overall performance, capability aspects and Stage 1 Entrustable Professional Activities will be assessed and recorded in your Macquarie Assessment Portfolio.</p>'}, 'Mini-CEX': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '0', 'assessment_hurdle': 'No', 'assessment_description': '<p>Mini-CEX assessments are formative and are designed to provide you with personalised feedback to improve your clinical skills. Overall performance, capability aspects and Stage 1 Entrustable Professional Activities will be assessed and recorded in your Macquarie Assessment Portfolio.</p>'}, 'MindSpot Wellbeing Course': {'assessment_type': 'Portfolio', 'assessment_weight': '0', 'assessment_hurdle': 'Yes', 'assessment_description': '<p>You will be responsible for completing the online Mindspot Wellbeing Course. MindSpot will confirm your completion which will enable you to pass this hurdle task.</p>'}, 'Clinical Quiz': {'assessment_type': 'Examination', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<p>The Clinical Quiz is a written examination consisting of mainly multiple choice and some short answer questions which will be mapped to capability aspects. Overall and capability aspects performance will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'Direct Observation of Procedural Skills (DOPS)': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '0', 'assessment_hurdle': 'No', 'assessment_description': '<p>DOPS assessments are formative and are designed to provide you with personalised feedback to improve your clinical skills. Overall performance, capability aspects and Stage 1 Entrustable Professional Activities will be assessed and recorded in your Macquarie Assessment Portfolio.</p>'}}",False,"Primary Care, Wellbeing and Cancer"
MEDI8105,2024,['Session 2 - In person-scheduled-weekday'],"<p>This unit includes an integrated community clinical component and will provide you with foundation knowledge, skills and attributes necessary for working collaboratively in the provision of person-centred healthcare in a biopsychosocial framework. The respective roles, responsibilities and regulation of health professionals in the context of the changing healthcare environment will be examined. Safety and Quality of patient care will be emphasised via the importance of ethical decision making, communication, documentation, respect for cultural differences and the client&#39;s goals. Over the session, you will have the opportunity to observe and assess clients as they navigate their health care in a range of settings.</p>",https://coursehandbook.mq.edu.au/2024/units/MEDI8105/,"{'prerequisite': ['Admission to DPT or ((MEDI910 or MEDI8100) and (MEDI911 or MEDI8101) and (MEDI912 or MEDI8102))'], 'NCCW (pre-2020 units)': ['MEDI915, PHYT803'], 'corequisite': ['((MEDI913 or MEDI8103) and (MEDI914 or MEDI8104)) or ((PHTY800 or PHTY8100) and (PHTY801 or PHTY8101) and (PHTY802 or PHTY8102))']}","{'Ethics Seminar': {'assessment_type': 'Presentation', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<p>In small groups you will deliver a short presentation either for or against a health related ethical topic. Overall performance and capability aspects will be assessed, and recorded in your Macquarie Assessment Portfolio.</p>'}, 'Community Clinical Placement handover report': {'assessment_type': 'Report', 'assessment_weight': '30', 'assessment_hurdle': 'No', 'assessment_description': '<p>You will submit a written clinical handover on your Community Clinical Placement and present this to your tutorial class. You will then provide a self-reflection on your handover. Overall performance and capability aspects will be assessed, and recorded in your Macquarie Assessment Portfolio.</p>'}, 'Community Clinical Placement log book': {'assessment_type': 'Log book', 'assessment_weight': '0', 'assessment_hurdle': 'Yes', 'assessment_description': '<p>You will provide a detailed log book specifying your community clinical placement hours. Overall performance and generic capability aspect will be assessed, and recorded in your Macquarie Assessment Portfolio.</p>'}, 'Information Aid': {'assessment_type': 'Poster', 'assessment_weight': '30', 'assessment_hurdle': 'No', 'assessment_description': '<p>You will create an information aid based on your Community Clinical Placement. Overall performance and capability aspects will be assessed, and will be recorded in your Macquarie Assessment Portfolio.</p>'}}",False,Interprofessional Healthcare
MEDI8400,2024,['MD4A - In person-scheduled-infrequent'],"<p>This unit is the final of three research units which are integrated with clinical learning in Stage 2 of the Doctor of Medicine (Doctor of Medicine). It concludes an 18-month research experience culminating in the completion and presentation of an individual research project. The unit builds on the research training embedded in Stage 1 of the Macquarie MD, MEDI8300: Research Project A, and MEDI8303: Research Project B. The research projects offered broadly focus on making a scholarly contribution to learning health systems and may include projects related to health systems development and delivery, infrastructure and resource-use in healthcare, patient safety and quality, patient and clinician experience of service delivery, patient- and professional-reported determinants of health and wellbeing, and medical education. In this unit, you will continue to work with peers involved in similar projects and your project supervisors to complete your research project and present it in the form of a written manuscript suitable for submission to a relevant journal and orally as part of a Macquarie MD research conference. The focus of this unit is interpreting and discussing the results, implications for healthcare and recommendations for future research. You will further develop and demonstrate your skills in communicating research effectively.</p>",https://coursehandbook.mq.edu.au/2024/units/MEDI8400/,"{'prerequisite': ['MEDI8303'], 'corequisite': ['MEDI8401']}","{'Oral Presentation & Short Extract': {'assessment_type': 'Presentation', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<p>Oral Presentation of Research Project &amp; Submission of Short Extract as part of a research conference. Assessment criteria will be mapped to relevant capability aspects. Overall and capability aspects performance will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'Final Research Manuscript': {'assessment_type': 'Professional writing', 'assessment_weight': '60', 'assessment_hurdle': 'No', 'assessment_description': '<p>Submission of a Final research manuscript in format of the specified journal. Assessment criteria will be mapped to relevant capability aspects . Overall and capability aspect performance will be recorded in your Macquarie Assessment Portfolio.</p>'}}",False,Research Project and Presentation
MEDI8314,2024,['Full year 1 - In person-placement'],"<p>This full year assessment unit integrates with the three core clinical placement units (MEDI8311, MEDI8312, MEDI8313) where you will be embedded in healthcare teams working with individuals with a variety of health conditions in Stage 2 of the Macquarie MD.  In this unit, you will be required to participate in healthcare delivery and demonstrate significant progress toward the development of the 4 Macquarie MD Graduate Capabilities: Scientist and Scholar, Clinical Practitioner, Engaged Global Citizen and Professional, and the Graduate Entrustable Professional Activities at a standard appropriate to Stage 2. Your clinical capability and entrustment development must meet the required standard in each of the 5 clinical disciplines (Medicine, Surgery, Paediatrics, Obstetrics and Gynaecology, and Primary/Community Care) as well as in the areas of cultural responsiveness, ethics and patient safety and quality.</p>",https://coursehandbook.mq.edu.au/2024/units/MEDI8314/,"{'corequisite': ['MEDI8310'], 'prerequisite': ['MEDI8204'], 'Co-badge': ['MEDI8301', 'MEDI8302']}","{'Objective Structured Clinical Examination (OSCE)': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '50', 'assessment_hurdle': 'Yes', 'assessment_description': '<p><em>Multi-station OSCE with at least 1 station from disciplines covered across Year 3. Assessment criteria for each station will be mapped to Capability Aspects (2.1,2.2,4.2) as well as other relevant Capability Aspects (CAs) and Graduate Entrustable Professional Activities (EPAs). Overall, CA performance and EPAs will be recorded in your Macquarie Assessment Portfolio.</em></p>'}, 'Direct Observation of Procedural Skills (DOPS)': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '0', 'assessment_hurdle': 'No', 'assessment_description': '<p>Pass at least 5 x DOPS spread across the clinical disciplines aligned with placements in MEDI8311, MEDI8312, MEDI8313.\xa0 Please see iLearn for specific clinical discipline requirements. Assessment criteria will be mapped to relevant Capability Aspects (CAs) and Graduate Entrustable Professional Activities (EPAs). Overall, CA performance and EPAs will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'Team Clinical Evaluation Exercise (T-MEX)': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '0', 'assessment_hurdle': 'No', 'assessment_description': '<p>Pass at least 5 x T-MEX; spread across the clinical disciplines aligned with placements in MEDI8311, MEDI8312, MEDI8313.\xa0 Please see iLearn for specific clinical discipline requirements. Assessment criteria will be mapped to relevant Capability Aspects (CAs) and Graduate Entrustable Professional Activities (EPAs). Overall, CA performance and EPAs will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'Portfolio Professionalism Review': {'assessment_type': 'Portfolio', 'assessment_weight': '10', 'assessment_hurdle': 'Yes', 'assessment_description': '<p>Portfolio data from all Year 3 work-based assessments including in-training assessments will be reviewed to evaluate if professionalism standards have been met.\xa0\xa0Assessment criteria for will be mapped to Capability Aspect (4.2) and other relevant Capability Aspects.\xa0 Performance overall and for relevant Capability Aspects\xa0 will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'Mini-Clinical Evaluation Exercise (Mini-CEX)': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '0', 'assessment_hurdle': 'No', 'assessment_description': '<p>Pass at least 5 x Mini-CEX spread across the clinical disciplines aligned with placements in MEDI8311, MEDI8312, MEDI8313..\xa0 Please see iLearn for specific clinical discipline requirements. Assessment criteria will be mapped to relevant Capability Aspects (CAs) and Graduate Entrustable Professional Activities (EPAs). Overall, CA performance and EPAs will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'Clinical Viva Examination': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '40', 'assessment_hurdle': 'Yes', 'assessment_description': '<p><em>Multi-station clinical viva examination with at least 1 station from disciplines covered across Year 3. Assessment criteria for each station will be mapped to Capability Aspects (2.1,2.2,4.2) as well as other relevant Capability Aspects (CAs) and Graduate Entrustable Professional Activities (EPAs). Overall, CA performance and EPAs will be recorded in your Macquarie Assessment Portfolio.</em></p>'}, 'Formative Integrated Examination': {'assessment_type': 'Examination', 'assessment_weight': '0', 'assessment_hurdle': 'No', 'assessment_description': '<p>Written exams covering the disciplines: Medicine, Paediatrics, Primary and Preventative Care, Obstetrics and Gynaecology, Surgery, as well as the topics of Patient Safety and Quality, Ethics &amp; Professionalism, Public Health and Aboriginal &amp; Torres Strait Islander health. Overall performance will be recorded in your Macquarie Assessment Portfolio. The\xa0examination may be split into 2 papers to avoid an examination duration of longer than 2 hours</p>'}}",False,Assessment  of Clinical Capability and Entrustment Development
MEDI8312,2024,['MD3B - In person-placement'],"<p>This is the second of three units which comprise a total of 12 weeks of core clinical placements where you will be embedded in healthcare teams working with individuals with a variety of health conditions in Stage 2 of the Macquarie MD.  Across the three core clinical placement units (MEDI8311,MEDI8312 , MEDI8313) you will complete placements aligned with clinical disciplines involved in health care delivery (Medicine, Surgery, Paediatrics, Obstetrics and Gynaecology, and Primary/Community  Care)  in public and private health care sectors and in global and/or local settings.  This unit provides you with the opportunity to participate in the delivery of patient-centred healthcare and to apply your medical science knowledge and pathophysiological understanding, history taking and physical examination skills which you have acquired across Stage 1, and to integrate and apply your clinical reasoning and diagnostic skills; and formulate a management plan in diverse clinical settings. You will be required to participate in healthcare delivery and demonstrate significant progress toward the development of the 4 Macquarie MD Graduate Capabilities: Scientist and Scholar, Clinical Practitioner, Engaged Global Citizen and Professional, and the Graduate Entrustable Professional Activities, at a standard appropriate to Stage 2.  </p>",https://coursehandbook.mq.edu.au/2024/units/MEDI8312/,"{'prerequisite': ['MEDI8204 and MEDI8311'], 'corequisite': ['MEDI8314 and MEDI8310'], 'Co-badge': ['MEDI8301', 'MEDI8302']}","{'Clinical Discipline  / Ethics Projects': {'assessment_type': 'Project', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<p>Two projects will be required in the unit. The topic of the projects will be dependent on your placement rotations. Please refer to your assessment guide available on iLearn for details. Assessment criteria will be mapped to relevant Capability Aspects (CAs) and Graduate Entrustable Professional Activities (EPAs). Overall, CA performance and EPAs will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'In-Training Assessments (ITA)': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '60', 'assessment_hurdle': 'No', 'assessment_description': '<p>In-Training Assessments (ITA) at end of rotations by clinical supervisors.\xa0 These may vary between clinical disciplines and\xa0 may include evaluation of self-assessments, logbook and learning plans.\xa0 Please see detailed assessment guides on iLearn. Assessment criteria will be mapped to relevant Capability Aspects (CAs) and Graduate Entrustable Professional Activities (EPAs). Overall, CA performance and EPAs will be recorded in your Macquarie Assessment Portfolio.</p>'}}",False,Core Clinical Placements B
MEDI8104,2024,['Session 2 - In person-scheduled-weekday'],"<p>This unit builds and extends on content from MEDI8101 Clinical Practice 1. You will have the opportunity to develop and practise consulting (communication and history taking) skills, physical examination skills and basic procedural skills within a simulated learning environment. Clinical knowledge relating to several body systems will be developed including the endocrine, reproductive, nervous and musculoskeletal systems, as well as the study of metabolism and oncology. Clinical skills training will occur in both small and large group experiential learning activities. You will progressively develop and integrate basic consulting, communication and procedural skills with a focus on the mastery of normal systems.</p>",https://coursehandbook.mq.edu.au/2024/units/MEDI8104/,"{'prerequisite': ['(MEDI910 or MEDI8100) and (MEDI911 or MEDI8101) and (MEDI912 or MEDI8102)'], 'NCCW (pre-2020 units)': ['MEDI914'], 'corequisite': ['(MEDI913 or MEDI8103) and (MEDI915 or MEDI8105)']}","{'Direct Observation of Procedural Skills (DOPS)': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '0', 'assessment_hurdle': 'No', 'assessment_description': '<p>DOPS assessments are formative and are designed to provide you with personalised feedback to improve your clinical skills. Overall performance, capability aspects and Stage 1 Entrustable Professional Activities will be assessed and recorded in your Macquarie Assessment Portfolio.</p>'}, 'End of session written examination': {'assessment_type': 'Examination', 'assessment_weight': '50', 'assessment_hurdle': 'No', 'assessment_description': '<p>The end of session written examination will assess all content delivered during the session. The examination will include both multiple choice and short answer questions which will be mapped to capability aspects. Overall and capability aspect results will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'Mini-Clinical Evaluation Exercise (Mini-CEX)': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '0', 'assessment_hurdle': 'No', 'assessment_description': '<p>Mini-CEX assessments are formative and are designed to provide you with personalised feedback to improve your clinical skills. Overall performance, capability aspects and Stage 1 Entrustable Professional Activities will be assessed and recorded in your Macquarie Assessment Portfolio.</p>'}, 'Objective Structured Clinical Examination (OSCE)': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '50', 'assessment_hurdle': 'No', 'assessment_description': '<p>The OSCE will assess all content delivered during the session. It will include multiple stations with differing clinical scenarios. Overall performance, capability aspects and Stage 1 Entrustable Professional Activities will be assessed and recorded in your Macquarie Assessment Portfolio.</p>'}}",False,Clinical Practice 2
MEDI8313,2024,['MD3C - In person-placement'],"<p>This is the third of three units which comprise a total of 12 weeks of core clinical placements where you will be embedded in healthcare teams working with individuals with a variety of health conditions in Stage 2 of the Macquarie MD.  Across the three core clinical placement units (MEDI8311,MEDI8312 , MEDI8313) you will complete placements aligned with clinical disciplines involved in health care delivery (Medicine, Surgery, Paediatrics, Obstetrics and Gynaecology, and Primary/Community  Care)  in public and private health care sectors and in global and/or local settings.  This unit provides you with the opportunity to participate in the delivery of patient-centred healthcare and to apply your medical science knowledge and pathophysiological understanding, history taking and physical examination skills which you have acquired across Stage 1, and to integrate and apply your clinical reasoning and diagnostic skills; and formulate a management plan in diverse clinical settings. You will be required to participate in healthcare delivery and demonstrate significant progress toward the development of the 4 Macquarie MD Graduate Capabilities: Scientist and Scholar, Clinical Practitioner, Engaged Global Citizen and Professional, and the Graduate Entrustable Professional Activities, at a standard appropriate to Stage 2.  </p>",https://coursehandbook.mq.edu.au/2024/units/MEDI8313/,"{'prerequisite': ['MEDI8204 and MEDI8311 and MEDI8312'], 'corequisite': ['MEDI8310 and MEDI8314'], 'Co-badge': ['MEDI8301', 'MEDI8302']}","{'Clinical Discipline / Ethics Projects': {'assessment_type': 'Project', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<p>2\xa0 projects will be required in the unit. The topic of the projects will be dependent on your placement rotations. Please refer to your assessment guide available on iLearn for details. Assessment criteria will be mapped to relevant Capability Aspects (CAs) and Graduate Entrustable Professional Activities (EPAs). Overall, CA performance and EPAs will be recorded in your Macquarie Assessment Portfolio.</p>'}, 'In-Training Assessments ': {'assessment_type': 'Clinical performance evaluation', 'assessment_weight': '60', 'assessment_hurdle': 'No', 'assessment_description': '<p>In-Training Assessments (ITA) at end of rotations by clinical supervisors.\xa0 These may vary between clinical disciplines and\xa0 may include evaluation of self-assessments, logbook and learning plans.\xa0 Please see detailed assessment guides on iLearn. Assessment criteria will be mapped to relevant Capability Aspects (CAs) and Graduate Entrustable Professional Activities (EPAs). Overall, CA performance and EPAs will be recorded in your Macquarie Assessment Portfolio.</p>'}}",False,Core Clinical Placements C
MKTG8002,2024,['Session 1 - In person-scheduled-weekday'],"<p>Marketing communications are an integral part of an organization’s overall marketing activities and play a critical role in determining its success in the market. Today, marketing professionals face new opportunities, but also significant challenges in communicating with consumers in an evolving media landscape and dynamic interactions between consumers and brands.</p>
<p>This unit develops students’ skills to apply marketing communications theories to analyse firms’ marketing communications. Students will develop a marketing communication campaign and communicate marketing communications ideas professionally to potential audiences.</p>",https://coursehandbook.mq.edu.au/2024/units/MKTG8002/,"{'prerequisite': ['(Admission to MMktg or MCom) and MKTG6096'], 'NCCW (pre-2020 units)': ['ICMS821, MKTG802']}","{'Advertisement Development ': {'assessment_type': 'Presentation', 'assessment_weight': '30', 'assessment_hurdle': 'No', 'assessment_description': '<p>In this individual assessment students develop a creative advertisement to demonstrate critical thinking. Students are required to select one of the choices of product or service offered to them, apply marketing communication theories and design a creative advertisement. Students have to develop a video presenting their process and finished advertisement product. Length: 10 minutes video presentation</p>'}, 'IMC Campaign Development ': {'assessment_type': 'Project', 'assessment_weight': '50', 'assessment_hurdle': 'No', 'assessment_description': '<p>This is an individual assignment that requires students to prepare a marketing communications plan in response to a brief. This assignment targets the development of students’\xa0problem solving, research and analytical skills. Length: 2000 words.</p>'}, 'Practice-based activities': {'assessment_type': 'Participatory task', 'assessment_weight': '20', 'assessment_hurdle': 'No', 'assessment_description': '<p>Practice-based activities give students the opportunity to work in a group and individually to share their theoretical knowledge on marketing communications methods and experiences.\xa0</p>'}}",False,Marketing Communications
MKTG8007,2024,['Session 2 - In person-scheduled-weekday'],"<p>B2B marketing operates in an increasingly fast-paced and dynamic business landscape. New technologies, tools, and channels, when combined with increasingly complex business customer demands make the buying process strategically challenging. Marketing strategies drive marketing techniques and activities that offer customer value and secure sustainable revenue streams. This unit develops students’ knowledge of the theories, strategies, and principles underpinning B2B marketing. Students will develop skills to identify and address B2B marketing problems and make recommendations to solve B2B marketing problems. Further, students will learn how to develop B2B marketing strategies and tactics to drive competitive advantage to build and maintain market share. </p>",https://coursehandbook.mq.edu.au/2024/units/MKTG8007/,"{'prerequisite': ['Admission to MMktg and MKTG6096'], 'NCCW (pre-2020 units)': ['MKTG807'], 'Co-badge': ['MKTG7007']}","{'Practice-based activities': {'assessment_type': 'Participatory task', 'assessment_weight': '30', 'assessment_hurdle': 'No', 'assessment_description': '<p>Students will participate in discussions and activities (e.g., case studies, discussion questions, scenarios, quizzes, etc) during the workshops. Workshops allow students to engage in discussions and share their thoughts, help them articulate and communicate their point of view, and develop not only their own knowledge, but also assist collaborative learning to gain a better understanding of the topic. Each session students will work on specific activities.</p>'}, 'B2B Strategic Marketing Project': {'assessment_type': 'Report', 'assessment_weight': '40', 'assessment_hurdle': 'No', 'assessment_description': '<div>This assignment gives students the opportunity to apply their knowledge of B2B theories and strategies to a specific B2B company and a specific aspect of the company’s strategy and tactics. Further, students provide practical recommendations to the company on how to sustain their competitive advantage in the B2B context.</div>\n<div>\xa0</div>\n<div>Length: 2000 words</div>\n<div>More information about this assessment will be provided on iLearn.</div>'}, 'B2B Presentation': {'assessment_type': 'Presentation', 'assessment_weight': '30', 'assessment_hurdle': 'No', 'assessment_description': '<p>Students\xa0prepare a<strong>\xa015-minute\xa0</strong>\xa0presentation. The presentation will be based on intensive research and analysis conducted about a B2B marketing company and its strategy.\xa0</p>'}}",False,Business-to-Business Marketing Strategy
